raw_data_shape,xy_size,z_size,min_psnr,max_psnr,stacksize,virtual_size,psnr_sampling,max_probability,depth,start_filts,z_conv_stage,group_norm,masked,loss_function,up_mode,activation,block_type,name,lr,patience,batch_size,epochs,depth_scale,rotation,down_mode,Mean_psnr,Std_psnr,Min_psnr,Max_psnr,Mean_ssim,Std_ssim,Min_ssim,Max_ssim
"(3990, 512, 512)",128,64,-15.48838973,-10.53726315,1000,1000,signal,1,5,32,3,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.0002,25,8,500,2,0,maxpool,32.44671549,0.9258212238,28.65503923,35.50531464,0.9454306385,0.00893034512,0.9123308105,0.9664915992
"(3990, 512, 512)",256,32,-15.48838973,0.999999,1000,1000,signal,0.99999999,3,48,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,25,4,500,2,0,maxpool,32.41982271,0.9039934334,28.55170858,35.00606484,0.9432196261,0.009114110175,0.9112956861,0.9634816213
"(3990, 512, 512)",256,32,0,0.999999,1000,1000,signal,0.9999999,5,32,2,16,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,500,2,0,maxpool,32.28837198,1.120608791,28.23778263,36.20058248,0.9561282907,0.007451429663,0.9211007417,0.9724250374
"(3990, 512, 512)",256,32,0.95,0.99,1000,1000,signal,0.99,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.0001,5,4,250,2,0,unshuffle,32.27655834,0.984175718,28.57030899,35.52956513,0.9427452048,0.009339819645,0.9091333342,0.9643792479
"(3400, 512, 512)",256,32,0,0.999999,1000,1000,signal,0.9999999,5,32,2,8,FALSE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,150,2,0,maxpool,32.15480593,1.160803953,27.97741061,34.67386925,0.9311994061,0.009248019883,0.8833496432,0.9460296317
"(512, 512, 512)",256,32,0,0.999999,1000,1000,signal,0.9999999,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,3.20E-05,20,4,150,2,0,maxpool,32.06598533,0.9208724641,28.4480938,33.81300028,0.9340462672,0.0103813224,0.8899002247,0.9517535342
"(3990, 512, 512)",256,32,0.9,0.999999,1000,1000,signal,0.9999999,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,500,2,0,maxpool,32.04568534,0.8984526507,28.53709948,34.81283505,0.9405028686,0.009385827903,0.9049765677,0.9624706817
"(3990, 512, 512)",256,32,0.9,0.9999,1000,1000,signal,0.99999999,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,500,2,0,maxpool,31.98550486,0.9118318308,28.23426494,34.89493919,0.9392952895,0.009066244795,0.9046883152,0.9607493639
"(3990, 512, 512)",256,32,-12.55617261,-7.780684233,1000,1000,signal,0.99,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.0001,5,4,250,2,10,maxpool,31.6590705,0.9315718365,28.53158355,35.18005097,0.936587475,0.009399673199,0.9062949003,0.959097503
"(3990, 512, 512)",128,64,-15.48838973,0.999999,1000,1000,signal,0.99999999,3,48,3,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,25,4,500,3,0,maxpool,31.58460616,0.7902442062,28.42482253,33.98382041,0.934386555,0.009229250268,0.9010984013,0.9568987708
"(3990, 512, 512)",256,32,0,0.999999,1000,1000,signal,0.9999999,4,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,250,1,0,maxpool,31.36563124,0.8531567014,28.4342039,34.30608404,0.931428059,0.01074902466,0.899147647,0.957597358
"(3990, 512, 512)",128,32,-15.48838973,0.999999,5000,5000,signal,0.99999999,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,25,20,500,2,0,maxpool,31.27350475,0.7345456705,28.28270552,34.12715387,0.9357203128,0.01138732914,0.8923790573,0.9621649778
"(3990, 512, 512)",128,64,-15.48838973,-10.53726315,1000,1000,signal,0.99,5,32,6,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.0001,5,8,250,2,10,,31.24317973,0.9754633952,28.41474654,34.64299426,0.9227309741,0.01249107221,0.8800330407,0.9529423167
"(3990, 512, 512)",256,32,-12.55617261,-7.780684233,1000,1000,signal,0.99,4,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.0001,5,4,250,2,10,maxpool,31.23659295,0.8808177448,28.45879443,34.79558258,0.9275883475,0.0107267747,0.8917850249,0.9539276344
"(3990, 512, 512)",256,32,0.99,0.99,1000,1000,signal,0.99,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.0002,5,4,500,2,0,maxpool,30.99414527,0.8609350478,28.32634152,34.08299093,0.92582723,0.01088548149,0.886479136,0.9542658028
"(3990, 512, 512)",128,64,-15.48838973,-10.53726315,1000,1000,signal,0.99,5,32,6,8,TRUE,photon,pixelshuffle,relu,tri,adamw,5.00E-05,5,10,250,2,,,30.87318027,0.963143911,28.25578088,34.24199933,0.9230603503,0.01301777727,0.8840297363,0.9556248735
"(3400, 512, 512)",256,32,0,0.999999,1000,1000,signal,0.9999999,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,150,2,0,maxpool,30.76033098,0.9569446009,27.16838452,32.9284095,0.8959041714,0.0101798101,0.85296561,0.9254565432
"(3990, 512, 512)",256,48,-15.48838973,0.999999,1000,1000,signal,0.999999,2,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,500,2,0,maxpool,30.57075319,0.8618927923,28.08463409,33.59243771,0.9134908265,0.01229041137,0.8706847276,0.9458014689
"(3990, 512, 512)",256,160,-15.48838973,-10.53726315,200,200,signal,0.99,5,32,6,16,TRUE,photon,trilinear,relu,tri,adamw,5.00E-05,5,1,250,2,,,30.5109817,0.9367068028,28.04206766,33.69731251,0.9163292836,0.0132113611,0.8632043729,0.949862227
"(3990, 512, 512)",256,128,-15.48838973,-10.53726315,100,100,signal,0.99,5,32,6,8,TRUE,photon,pixelshuffle,relu,tri,adamw,5.00E-05,5,1,250,2,10,,30.37360255,0.9631587469,28.05186824,33.51113597,0.9068890276,0.01442535959,0.8593260756,0.9429455607
"(3990, 512, 512)",256,128,-15.48838973,-10.53726315,100,100,signal,0.99,5,32,6,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,5.00E-05,5,1,250,2,10,,30.18398313,0.961260421,27.74321874,33.37834594,0.9017970736,0.01490973511,0.8470263303,0.9394892293
